To build the structure resembling "O", we need to carefully position and rotate the blocks using the `ab_drop()` function. Here is a possible solution:

```python
ab_drop('b11', 0)
ab_drop('b11', 2)
ab_drop('b11', 4)
ab_drop('b11', 6)
ab_drop('b11', 8)
ab_drop('b11', 10)
ab_drop('b11', 12)
ab_drop('b11', 14)
ab_drop('b11', 16)
ab_drop('b11', 18)
ab_drop('b11', 0)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b31', 1)
ab_drop('b11', 2)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b31', 3)
ab_drop('b11', 4)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b31', 5)
ab_drop('b11', 6)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b31', 7)
ab_drop('b11', 8)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b31', 9)
ab_drop('b11', 10)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b31', 11)
ab_drop('b11', 12)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b31', 13)
ab_drop('b11', 14)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b31', 15)
ab_drop('b11', 16)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b31', 17)
ab_drop('b11', 18)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
ab_drop('b31', 19)
```
