To generate the uppercase English letter "A", we can use the following stream of commands:

```
ab_drop('b13',1)
ab_drop('b13',2)
ab_drop('b31',2)
ab_drop('b13',1)
ab_drop('b13',2)
ab_drop('b31',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
ab_drop('b11',1)
ab_drop('b11',2)
ab_drop('b11',3)
```

This stream of commands will result in the formation of the letter "A" using the block types provided. The shape starts with two vertical blocks ('b13') followed by a horizontal block ('b31') to form the top part of the letter. Then, a series of single blocks ('b11') are placed to form the center and bottom parts of the letter.
