ab drop(b13, y = 10, layer = 15)
ab drop(b11, y = 9, layer = 14)
ab drop(b11, y = 10, layer = 14)
ab drop(b11, y = 11, layer = 14)
ab drop(b11, y = 8, layer = 13)
ab drop(b11, y = 9, layer = 13)
ab drop(b11, y = 10, layer = 13)
ab drop(b11, y = 11, layer = 13)
ab drop(b11, y = 12, layer = 13)
ab drop(b11, y = 7, layer = 12)
ab drop(b11, y = 8, layer = 12)
ab drop(b11, y = 9, layer = 12)
ab drop(b11, y = 10, layer = 12)
ab drop(b11, y = 11, layer = 12)
ab drop(b11, y = 12, layer = 12)
ab drop(b11, y = 13, layer = 12)
ab drop(b11, y = 6, layer = 11)
ab drop(b11, y = 7, layer = 11)
ab drop(b11, y = 8, layer = 11)
ab drop(b11, y = 9, layer = 11)
ab drop(b11, y = 10, layer = 11)
ab drop(b11, y = 11, layer = 11)
ab drop(b11, y = 12, layer = 11)
ab drop(b11, y = 13, layer = 11)
ab drop(b11, y = 14, layer = 11)
ab drop(b11, y = 5, layer = 10)
ab drop(b31, y = 6, layer = 10)
ab drop(b11, y = 9, layer = 10)
ab drop(b11, y = 10, layer = 10)
ab drop(b11, y = 11, layer = 10)
ab drop(b31, y = 12, layer = 10)
ab drop(b11, y = 15, layer = 10)
