To generate the uppercase English letter "E", we can use a combination of the block types mentioned. Here is the stream of ab_drop() commands to create the letter:

```
ab_drop('b31',1)    # Place the horizontal straight block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b31',1)    # Place the horizontal straight block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b31',1)    # Place the horizontal straight block at position 1
ab_drop('b31',1)    # Place the horizontal straight block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b31',1)    # Place the horizontal straight block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b11',1)    # Place the square block at position 1
ab_drop('b31',1)    # Place the horizontal straight block at position 1
```

By following these commands and placing the blocks in the given order and position, we can create the uppercase letter "E" in the defined environment.
