To generate the uppercase letter "R", here is the stream of commands using the block types described:

```
ab_drop('b11',1)  // Place a square block at position 1
ab_drop('b11',2)  // Place a square block at position 2
ab_drop('b11',3)  // Place a square block at position 3
ab_drop('b11',4)  // Place a square block at position 4
ab_drop('b11',5)  // Place a square block at position 5
ab_drop('b31',6)  // Place a horizontal block at position 6
ab_drop('b11',8)  // Place a square block at position 8
ab_drop('b11',9)  // Place a square block at position 9
ab_drop('b13',10) // Place a vertical block at position 10
ab_drop('b31',11) // Place a horizontal block at position 11
ab_drop('b11',12) // Place a square block at position 12
ab_drop('b11',13) // Place a square block at position 13
ab_drop('b11',14) // Place a square block at position 14
ab_drop('b11',15) // Place a square block at position 15
ab_drop('b11',16) // Place a square block at position 16
ab_drop('b11',17) // Place a square block at position 17
```

By following these commands, you will successfully generate the uppercase letter "R" using the given block types and within the defined environment.
