To create the structure "W" inside a 20*16 block area, we will use the ab_drop('blocktype', x position) command. 

First, we will create the two diagonal lines of the "W" shape using the b13 block type.

Downward diagonal line:
ab_drop('b13', 0)
ab_drop('b13', 2)
ab_drop('b13', 4)
ab_drop('b13', 6)
ab_drop('b13', 8)
ab_drop('b13', 10)
ab_drop('b13', 12)
ab_drop('b13', 14)
ab_drop('b13', 16)
ab_drop('b13', 18)

Upward diagonal line:
ab_drop('b13', 0)
ab_drop('b13', 2)
ab_drop('b13', 4)
ab_drop('b13', 6)
ab_drop('b13', 8)
ab_drop('b13', 10)
ab_drop('b13', 12)
ab_drop('b13', 14)
ab_drop('b13', 16)
ab_drop('b13', 18)

Next, we will create the middle part of the "W" shape using the b31 block type.

ab_drop('b31', 2)
ab_drop('b31', 4)
ab_drop('b31', 6)
ab_drop('b31', 8)
ab_drop('b31', 10)
ab_drop('b31', 12)
ab_drop('b31', 14)
ab_drop('b31', 16)

Finally, we will create the outer boundary of the 20*16 block using the b11 block type.

ab_drop('b11', 0)
ab_drop('b11', 1)
ab_drop('b11', 2)
ab_drop('b11', 3)
ab_drop('b11', 4)
ab_drop('b11', 5)
ab_drop('b11', 6)
ab_drop('b11', 7)
ab_drop('b11', 8)
ab_drop('b11', 9)
ab_drop('b11', 10)
ab_drop('b11', 11)
ab_drop('b11', 12)
ab_drop('b11', 13)
ab_drop('b11', 14)
ab_drop('b11', 15)
ab_drop('b11', 16)
ab_drop('b11', 17)
ab_drop('b11', 18)
ab_drop('b11', 19)
ab_drop('b11', 20)
ab_drop('b11', 21)
ab_drop('b11', 22)
ab_drop('b11', 23)
ab_drop('b11', 24)
ab_drop('b11', 25)
ab_drop('b11', 26)
ab_drop('b11', 27)
ab_drop('b11', 28)
ab_drop('b11', 29)
ab_drop('b11', 30)
ab_drop('b11', 31)
ab_drop('b11', 32)
ab_drop('b11', 33)
ab_drop('b11', 34)
ab_drop('b11', 35)
ab_drop('b11', 36)
ab_drop('b11', 37)
ab_drop('b11', 38)
ab_drop('b11', 39)
ab_drop('b11', 40)
ab_drop('b11', 41)
ab_drop('b11', 42)
ab_drop('b11', 43)
ab_drop('b11', 44)
ab_drop('b11', 45)
ab_drop('b11', 46)
ab_drop('b11', 47)
ab_drop('b11', 48)
ab_drop('b11', 49)
ab_drop('b11', 50)
ab_drop('b11', 51)
ab_drop('b11', 52)
ab_drop('b11', 53)
ab_drop('b11', 54)
ab_drop('b11', 55)
ab_drop('b11', 56)
ab_drop('b11', 57)
ab_drop('b11', 58)
ab_drop('b11', 59)
ab_drop('b11', 60)
ab_drop('b11', 61)
ab_drop('b11', 62)
ab_drop('b11', 63)
ab_drop('b11', 64)
ab_drop('b11', 65)
ab_drop('b11', 66)
ab_drop('b11', 67)
ab_drop('b11', 68)
ab_drop('b11', 69)
ab_drop('b11', 70)
ab_drop('b11', 71)
ab_drop('b11', 72)
ab_drop('b11', 73)
ab_drop('b11', 74)
ab_drop('b11', 75)
ab_drop('b11', 76)
ab_drop('b11', 77)
ab_drop('b11', 78)
ab_drop('b11', 79)
ab_drop('b11', 80)
ab_drop('b11', 81)
ab_drop('b11', 82)
ab_drop('b11', 83)
ab_drop('b11', 84)
