```
# Map Initialization
structure = [[' ']*W for _ in range(H)]

# Drop the first block vertically from the top layer, aligning its center with slot 2
ab_drop('b13', 2)

# Drop the second block vertically from layer 14, aligning its center with slot 2
ab_drop('b13', 2)

# Drop the third block vertically from layer 12, aligning its center with slot 2
ab_drop('b13', 2)

# Drop the fourth block vertically from layer 10, aligning its center with slot 2
ab_drop('b31', 2)

# Drop the fifth block vertically from layer 8, aligning its center with slot 2
ab_drop('b31', 2)

# Drop the sixth block vertically from layer 6, aligning its center with slot 2
ab_drop('b31', 2)

# Drop the seventh block vertically from layer 4, aligning its center with slot 2
ab_drop('b13', 2)

# Drop the eighth block vertically from layer 2, aligning its center with slot 2
ab_drop('b13', 2)
```
