```
# Map Initialization
structure = [[' ']*W for _ in range(H)]

# Drop the first block, a vertical block with a width of 1 unit and a height of 3 units
ab_drop('b13', 9)

# Drop the second block, a horizontal block with a width of 3 units and a height of 1 unit
ab_drop('b31', 7)

# Drop the third block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 12)
ab_drop('b11', 12)

# Drop the fourth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 8)
ab_drop('b11', 9)

# Drop the fifth block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 7)
ab_drop('b11', 7)

# Drop the sixth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 11)
ab_drop('b11', 12)

# Drop the seventh block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 7)
ab_drop('b11', 7)

# Drop the eighth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 11)
ab_drop('b11', 12)

# Drop the ninth block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 12)
ab_drop('b11', 12)

# Drop the tenth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 8)
ab_drop('b11', 9)

# Drop the eleventh block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 4)
ab_drop('b11', 5)

# Drop the twelfth block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 5)
ab_drop('b11', 5)

# Drop the thirteenth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 9)
ab_drop('b11', 10)

# Drop the fourteenth block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 4)
ab_drop('b11', 4)

# Drop the fifteenth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 9)
ab_drop('b11', 10)

# Drop the sixteenth block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 10)
ab_drop('b11', 10)

# Drop the seventeenth block, a horizontal block with a width of 2 units and a height of 1 unit
ab_drop('b11', 6)
ab_drop('b11', 7)

# Drop the eighteenth block, a vertical block with a width of 1 unit and a height of 2 units
ab_drop('b11', 7)
ab_drop('b11', 7)

