To create the structure "K" inside a 20*16 box using the ab_drop function, we can follow these steps:

1. Drop a b13 block at position (0, 6).
   ab_drop('b13', 0)

2. Drop a b11 block at position (1, 5).
   ab_drop('b11', 1)

3. Drop a b11 block at position (1, 7).
   ab_drop('b11', 1)

4. Drop a b13 block at position (3, 6).
   ab_drop('b13', 3)

5. Drop a b31 block at position (5, 5).
   ab_drop('b31', 5)

6. Drop a b11 block at position (5, 8).
   ab_drop('b11', 5)

7. Drop a b13 block at position (8, 6).
   ab_drop('b13', 8)

8. Drop a b11 block at position (9, 5).
   ab_drop('b11', 9)

9. Drop a b11 block at position (9, 7).
   ab_drop('b11', 9)

10. Drop a b13 block at position (11, 6).
    ab_drop('b13', 11)

11. Drop a b31 block at position (13, 5).
    ab_drop('b31', 13)

12. Drop a b11 block at position (13, 8).
    ab_drop('b11', 13)

13. Drop a b13 block at position (16, 6).
    ab_drop('b13', 16)

14. Drop a b11 block at position (17, 5).
    ab_drop('b11', 17)

15. Drop a b11 block at position (17, 7).
    ab_drop('b11', 17)

16. Drop a b13 block at position (19, 6).
    ab_drop('b13', 19)

By following these steps, the structure "K" will be created inside the 20*16 box.
